name,code,cur_price,est_price0,est_price1,est_price2,disparity0,rep_roe,is_cheap_per,est_level
우리산업,A215360,7350,16692,14843,14197,-127,13.56,1,3
평화산업,A090080,876,1978,1526,1368,-126,18.8,1,3
케이씨피드,A025880,2510,5625,5331,5228,-124,11.92,1,3
백산,A035150,10400,23084,17696,15812,-122,19.11,0,3
동원수산,A030720,5690,12501,12297,12226,-120,11.09,0,3
디와이피엔에프,A104460,10060,22137,18764,17585,-120,15.05,1,3
SOOP,A067160,49750,109166,74289,62097,-119,26.78,1,3
배럴,A267790,3140,6805,6435,6306,-117,11.97,0,3
KT밀리의서재,A418470,10230,22105,15722,13490,-116,23.42,1,3
대창단조,A015230,6010,12894,12847,12831,-115,10.82,1,3
엠에스씨,A009780,6120,13123,11857,11414,-114,13.12,1,3
동아엘텍,A088130,7110,15190,12275,11256,-114,16.79,1,3
JW생명과학,A234080,11250,23954,18773,16961,-113,18.07,1,3
영화테크,A265560,7540,16062,12112,10732,-113,19.93,1,3
동인기연,A111380,13160,27889,26714,26303,-112,11.67,1,3
아이티센엔텍,A010280,6790,14323,10751,9503,-111,20.18,1,3
엠게임,A058630,4465,9442,8259,7845,-111,14.05,1,3
유아이엘,A049520,3680,7641,7102,6914,-108,12.39,0,3
